FOTOTREE NAME                                      | LATITUDE     | LONGITUDE    | LOCATION NAME
------------------------------------------------------------------------------------------------------------------------
 JPO Balai Kota Bandung                            | -6.905699    | 107.68243    | 
 Road To Give - Yogyakarta 2024                    | -7.7614374   | 110.398476   | 
081 TRAIL RUN DE BLITAR EXPLORER 2024              | -7.997006    | 112.23131    | 
1000 Berlari Semarang 2025                         | -6.9899263   | 110.46991    | 
1000 Berlari Surabaya 2025                         | -7.2892423   | 112.77649    | 
1000 Berlari Tangerang 2024                        | -6.2110147   | 106.619316   | 
10th Anniversary Klaten Runners                    | -7.7484565   | 110.62711    | 
16th Anniversary Jogja Folding Bike 2025           | -7.7982645   | 110.33618    | 
1st Anniversary SyukuRun 2025                      | -7.0308437   | 109.61735    | 
1st Banten Audiology Conference and Course 2023    | -6.171788    | 106.6382     | 
22th Anniversary Suryatokoku Fun Run 2025          | -6.905709    | 108.74951    | 
2nd Audiology Vestibular Conference and Course     | -6.1938553   | 106.63436    | 
2nd Fleet Night Fun Run 2025                       | -7.195722    | 112.739655   | 
38th Pan Indo Hash (Indonesia Nash Hash)           | -8.531055    | 116.070526   | 
3rd Anniversary Partner Run                        | 1.0459808    | 120.817795   | 
50th Itenas Fun Run                                | -6.8977265   | 107.63618    | 
5K Bangli Fun Run 2025                             | -8.461131    | 115.35279    | 
5K Charity Fun Run  2025                           | -8.652078    | 115.22492    | 
5K Halloween Run Surabaya 2025                     | -7.27002     | 112.8118     | 
5K JTOWN Fun Run 2026                              | -6.220386    | 106.86772    | 
5K Kidney Run RSU Queen Latifa 2025                | -7.7599874   | 110.33774    | 
5K Omma Fun Run 2025                               | -8.575597    | 115.28941    | 
5K RUN SDH BANGKA 2024                             | -2.1510315   | 106.12935    | 
5K Runniversary 1 Decade Grand Dian Hotel Brebes   | -6.8771114   | 109.05912    | 
5K Smanere Fun Run 2025                            | -8.183529    | 112.679695   | 
5K Sunset Trail Run                                | -8.785712    | 115.162056   | 
5K Vertical Fun Run – Mall to Mall 2025            | -6.248362    | 106.991104   | 
7K Run Timeless 2025                               | -7.1726456   | 107.88602    | 
7nniversary Run R4C Runmate 2024                   | -6.1613045   | 106.9275     | 
8K for 8 Years Fitra Runversary 2025               | -6.83247     | 108.20943    | 
